gender,age,height,weight,bust_circumference,waist_circumference,hip_circumference
F,60.0,1.57,67.3,1134.080867965368,1153.9949437229434,936.4759543650798
F,51.0,1.53,49.7,1134.4796179653679,1153.9949437229434,843.3664404761902
F,54.0,1.495,50.4,1134.4796179653679,1153.9949437229434,844.3591695526692
F,46.0,1.569,49.1,1134.4796179653679,1153.9949437229434,844.103577380952
F,34.0,1.63,47.4,1132.7490941558442,1153.017003246753,863.2752936507937
F,40.0,1.601,52.7,1134.4796179653679,1153.9949437229434,865.452399711399
F,40.0,1.554,52.0,1134.4796179653679,1153.9949437229434,855.5854949494944
F,36.0,1.632,52.2,1132.7490941558442,1153.017003246753,891.2916347402595
F,65.0,1.61,69.4,1133.9962846320348,1158.5341937229432,972.1904731240982
F,45.0,1.635,60.8,1134.4796179653679,1153.9949437229434,896.3104384920636
F,29.0,1.501,63.9,1132.7490941558442,1153.017003246753,911.3263253968257
F,20.0,1.605,56.0,1141.5674274891776,1157.4515714285712,874.2633908730161
F,68.0,1.443,48.2,1134.4796179653679,1158.5341937229432,845.965323412698
F,21.0,1.614,50.1,1141.5674274891776,1157.4515714285712,880.8458382034632
F,59.0,1.604,80.5,1137.5571735209237,1154.32661038961,1041.6173313492066
F,59.0,1.497,54.0,1134.4796179653679,1153.9949437229434,867.099874999999
F,55.0,1.483,60.1,1134.4796179653679,1153.9949437229434,872.1168154761907
M,44.0,1.745,104.9,1156.3906814574314,1154.6028127705624,1186.3045629509384
M,56.0,1.58,56.6,1134.4796179653679,1153.9949437229434,864.5392083333334
M,23.0,1.86,88.0,1159.2508163780665,1161.8959246031743,1090.5015297619052
M,45.0,1.646,57.3,1134.4796179653679,1153.9949437229434,869.3512162698414
M,53.0,1.69,70.5,1134.339617965368,1153.9949437229434,974.9022083333336
M,34.0,1.675,76.7,1132.7290941558442,1153.017003246753,1005.1479642857146
M,61.0,1.674,56.4,1134.4796179653679,1153.9949437229434,861.4595178571429
M,22.0,1.698,56.1,1141.5674274891776,1157.4515714285712,874.0568908730161
M,20.0,1.821,88.8,1161.8633163780664,1162.1091190476188,1094.448166666667
M,35.0,1.714,67.5,1132.3503441558441,1153.017003246753,943.0937460317459
M,25.0,1.723,74.3,1140.8324274891777,1157.4515714285712,1030.3232480158733
M,23.0,1.755,73.8,1140.8324274891777,1157.4515714285712,1023.4276626984129
M,22.0,1.679,56.8,1141.5674274891776,1157.4515714285712,879.2733551587304
M,67.0,1.688,75.0,1134.459617965368,1158.5341937229432,998.4497123015873
M,22.0,1.805,69.7,1141.1686774891778,1157.4515714285712,1001.3342187950936
M,64.0,1.695,77.8,1134.459617965368,1158.5341937229432,996.7367599206356
M,20.0,1.809,71.9,1141.1874274891777,1157.4515714285712,1015.668601190476
M,17.0,1.789,82.5,1141.4629830447332,1157.6057023809524,1077.2055703463209
M,66.0,1.637,53.0,1134.4796179653679,1158.5341937229432,865.2356100288592
M,17.0,1.825,84.5,1142.6556497114,1158.5347023809522,1087.0386735209242
M,69.0,1.681,65.7,1133.9962846320348,1158.5341937229432,913.4182579365082
M,43.0,1.776,75.2,1134.459617965368,1153.9949437229434,1006.1725674603174
M,23.0,1.823,58.5,1141.5674274891776,1157.4515714285712,885.7404047619051
M,32.0,1.684,94.5,1150.9706259018758,1160.9580925324672,1098.8197261904763
M,34.0,1.716,70.6,1132.3690941558443,1153.017003246753,993.5882083333338
M,23.0,1.733,70.2,1141.0474274891776,1157.4515714285712,999.2256017316015
F,44.0,1.617,57.9,1134.4796179653679,1153.9949437229434,870.7430337301587
F,48.0,1.604,70.5,1134.339617965368,1153.9949437229434,974.9022083333336
F,64.0,1.564,65.5,1133.9962846320348,1158.5341937229432,916.2589841269843
F,65.0,1.537,57.3,1134.4796179653679,1158.5341937229432,872.106505952381
F,68.0,1.585,67.4,1133.9962846320348,1158.5341937229432,937.1456190476194
F,45.0,1.546,47.8,1134.4796179653679,1153.9949437229434,846.7298809523807
F,16.0,1.64,56.1,1140.3474274891776,1156.315821428571,883.5203253968257
F,17.0,1.595,78.6,1139.724094155844,1156.315821428571,1048.3761116522371
F,42.0,1.595,51.4,1134.4796179653679,1153.9949437229434,849.7980366161611
F,63.0,1.493,57.6,1134.4796179653679,1158.5341937229432,873.3614226190476
F,42.0,1.603,62.0,1134.4796179653679,1153.9949437229434,894.4915999278501
F,16.0,1.594,45.2,1140.3474274891776,1156.315821428571,858.7393273809528
F,18.0,1.693,65.1,1139.9486774891777,1156.315821428571,921.6949900793647
F,19.0,1.594,61.4,1141.5674274891776,1157.4515714285712,906.146043650794
F,48.0,1.68,58.2,1134.4796179653679,1153.9949437229434,870.966724206349
F,17.0,1.621,72.0,1139.9674274891777,1156.315821428571,1017.8867896825395
F,45.0,1.58,62.5,1134.4796179653679,1153.9949437229434,898.702062229437
F,27.0,1.525,57.5,1132.7490941558442,1153.017003246753,874.0299980158733
F,18.0,1.504,54.8,1140.3474274891776,1156.315821428571,890.2532896825395
F,20.0,1.714,86.9,1146.775506854257,1160.7569246031744,1092.827432539683
F,34.0,1.61,60.6,1132.7490941558442,1153.017003246753,898.0995555555559
F,18.0,1.625,49.1,1140.3474274891776,1156.315821428571,876.3610654761902
F,18.0,1.56,53.3,1140.3474274891776,1156.315821428571,887.0437619047616
F,53.0,1.553,44.6,1134.4796179653679,1153.9949437229434,842.4454464285716
F,17.0,1.641,51.8,1140.3474274891776,1156.315821428571,885.7508163780661
F,32.0,1.61,63.2,1132.7490941558442,1153.017003246753,902.2495800865803
F,31.0,1.6,53.4,1132.7490941558442,1153.017003246753,885.9742191558439
F,48.0,1.56,64.4,1134.080867965368,1153.9949437229434,903.1166190476193
F,35.0,1.575,55.0,1132.7490941558442,1153.017003246753,889.6853432539682
F,20.0,1.58,49.6,1141.5674274891776,1157.4515714285712,879.5364464285714
F,18.0,1.541,55.6,1140.3474274891776,1156.315821428571,881.964904761905
F,18.0,1.75,71.0,1139.9674274891777,1156.315821428571,1003.6225759379507
M,17.0,1.722,71.4,1139.9674274891777,1156.315821428571,1014.8435972222223
M,45.0,1.645,65.0,1134.080867965368,1153.9949437229434,910.9741190476191
M,34.0,1.724,79.0,1133.0779830447332,1154.1832532467529,1027.8350238095236
M,18.0,1.649,53.7,1140.3474274891776,1156.315821428571,886.0730396825394
M,16.0,1.736,59.1,1140.3474274891776,1156.315821428571,896.854811507937
M,18.0,1.675,81.1,1141.8996497114,1156.108988095238,1056.678571969697
M,26.0,1.739,76.4,1132.7290941558442,1153.017003246753,1006.9526567460318
M,24.0,1.753,78.9,1140.8863163780666,1157.4515714285712,1045.6855878427132
M,45.0,1.678,89.1,1156.4888401875903,1157.0981580086577,1085.2389496337
M,24.0,1.75,65.9,1141.1686774891778,1157.4515714285712,924.7010607864357
M,18.0,1.643,82.4,1141.4629830447332,1157.6057023809524,1077.261820346321
M,18.0,1.717,60.2,1140.3474274891776,1156.315821428571,903.3343412698415
M,47.0,1.658,65.1,1134.080867965368,1153.9949437229434,914.601521825397
M,39.0,1.665,69.1,1134.080867965368,1153.9949437229434,949.9196230158726
M,44.0,1.671,82.8,1137.436506854257,1155.1583246753244,1050.3957162698412
M,44.0,1.75,61.7,1134.4796179653679,1153.9949437229434,894.5020165945166
M,26.0,1.677,114.6,1171.4367261904758,1161.4224794372292,1213.6515351731607
M,47.0,1.655,78.4,1134.459617965368,1153.9949437229434,1015.4995575396829
M,63.0,1.682,61.9,1134.4796179653679,1158.5341937229432,896.0216257215008
M,18.0,1.715,62.6,1140.3474274891776,1156.315821428571,913.3884781746034
M,19.0,1.781,91.8,1149.0093044733046,1162.7027023809521,1097.3650714285716
M,18.0,1.718,52.8,1140.3474274891776,1156.315821428571,889.1485465367962
F,18.0,1.544,50.9,1140.3474274891776,1156.315821428571,885.3247635281382
F,17.0,1.604,47.5,1140.3474274891776,1156.315821428571,872.8138452380953
F,32.0,1.653,57.2,1132.7490941558442,1153.017003246753,872.9342043650795
F,17.0,1.66,68.6,1139.9486774891777,1156.315821428571,954.6499292929292
F,24.0,1.632,53.7,1141.5674274891776,1157.4515714285712,885.3544563492063
F,41.0,1.544,57.0,1134.4796179653679,1153.9949437229434,869.2499107142858
F,27.0,1.667,51.9,1132.7490941558442,1153.017003246753,882.7293688672436
F,18.0,1.556,53.5,1140.3474274891776,1156.315821428571,886.7295396825394
F,18.0,1.593,64.4,1139.9486774891777,1156.315821428571,917.7291726190477
F,25.0,1.637,55.4,1141.5674274891776,1157.4515714285712,875.0297678571428
F,20.0,1.545,40.9,1141.5674274891776,1157.4515714285712,853.3644404761907
F,16.0,1.681,77.4,1139.724094155844,1156.315821428571,1035.4587335858587
F,17.0,1.609,51.2,1140.3474274891776,1156.315821428571,885.2172370129866
F,20.0,1.633,55.3,1141.5674274891776,1157.4515714285712,886.5808531746028
F,18.0,1.575,50.6,1140.3474274891776,1156.315821428571,886.2635968614716
F,20.0,1.704,59.5,1141.5674274891776,1157.4515714285712,892.4287103174605
M,16.0,1.722,100.8,1154.043102092352,1162.8792857142855,1176.3613170995675
M,26.0,1.744,71.3,1132.3690941558443,1153.017003246753,1006.5187976190477
M,16.0,1.786,97.8,1154.127102092352,1163.8111428571426,1136.0984987373743
M,17.0,1.745,68.8,1139.9486774891777,1156.315821428571,967.2521574675325
M,18.0,1.695,76.2,1139.724094155844,1156.315821428571,1032.7066102092351
M,18.0,1.686,67.9,1139.9486774891777,1156.315821428571,947.3024186507937
M,26.0,1.672,65.3,1132.3503441558441,1153.017003246753,922.6043253968252
M,17.0,1.679,68.1,1139.9486774891777,1156.315821428571,954.2771515151514
M,42.0,1.715,68.4,1134.080867965368,1153.9949437229434,935.2137222222221
M,32.0,1.82,79.3,1133.9766497114,1154.1832532467529,1027.5433749999997
M,19.0,1.84,81.9,1143.6349830447332,1158.008488095238,1064.4740317460319
M,25.0,1.728,64.9,1141.1686774891778,1157.4515714285712,916.6468988095238
M,16.0,1.729,60.1,1140.3474274891776,1156.315821428571,902.2541269841272
M,16.0,1.713,52.1,1140.3474274891776,1156.315821428571,887.6126774891771
F,20.0,1.654,62.6,1141.5674274891776,1157.4515714285712,913.4101765873019
F,25.0,1.645,48.4,1141.5674274891776,1157.4515714285712,872.621375
F,16.0,1.641,54.9,1140.3474274891776,1156.315821428571,890.5345396825395
F,24.0,1.545,42.2,1141.5674274891776,1157.4515714285712,853.7367321428575
F,27.0,1.595,63.0,1132.7490941558442,1153.017003246753,906.9292467532472
F,57.0,1.561,62.8,1134.4796179653679,1153.9949437229434,904.4778320707067
F,20.0,1.595,46.4,1141.5674274891776,1157.4515714285712,862.0290595238095
F,22.0,1.583,53.8,1141.5674274891776,1157.4515714285712,885.6097896825396
M,25.0,1.825,91.9,1149.0093044733046,1162.266869047619,1097.3650714285716
M,26.0,1.735,77.8,1132.7290941558442,1153.017003246753,1007.2490158730162
M,32.0,1.755,75.7,1132.7290941558442,1153.017003246753,1014.1509186507934
M,19.0,1.817,71.3,1141.1874274891777,1157.4515714285712,1014.8001686507935
M,35.0,1.83,84.5,1135.9793163780664,1155.8029675324674,1061.6909107142862
M,57.0,1.619,65.0,1134.080867965368,1153.9949437229434,910.9741190476191
M,31.0,1.766,81.7,1135.8266497113998,1153.5239199134196,1040.2438769841272
M,42.0,1.75,87.0,1139.8610306637806,1155.7272135642131,1076.6700634920642
M,19.0,1.791,67.3,1141.1686774891778,1157.4515714285712,944.5690059523813
M,19.0,1.75,67.7,1141.1686774891778,1157.4515714285712,943.4226765873018
F,53.0,1.54,47.4,1134.4796179653679,1153.9949437229434,847.4221904761906
F,59.0,1.536,54.4,1134.4796179653679,1153.9949437229434,867.5794642857134
F,16.0,1.665,50.1,1140.3474274891776,1156.315821428571,884.0311596320346
F,23.0,1.644,61.8,1141.5674274891776,1157.4515714285712,905.9218174603179
F,24.0,1.64,56.5,1141.5674274891776,1157.4515714285712,874.7672420634922
F,19.0,1.645,66.5,1141.1686774891778,1157.4515714285712,931.9989218975471
F,20.0,1.664,52.8,1141.5674274891776,1157.4515714285712,888.1835465367963
F,20.0,1.644,61.2,1141.5674274891776,1157.4515714285712,907.0728472222227
F,22.0,1.69,57.2,1141.5674274891776,1157.4515714285712,881.1672123015876
F,26.0,1.65,52.1,1132.7490941558442,1153.017003246753,886.7886228354976
F,16.0,1.648,43.3,1140.3474274891776,1156.315821428571,857.653660714286
F,24.0,1.6,45.9,1141.5674274891776,1157.4515714285712,857.6640714285717
F,20.0,1.585,46.1,1141.5674274891776,1157.4515714285712,859.5268511904765
F,32.0,1.55,46.1,1132.7490941558442,1153.017003246753,856.5906091269843
F,32.0,1.568,50.6,1132.7490941558442,1153.017003246753,880.0899143217893
F,21.0,1.675,64.8,1141.1686774891778,1157.4515714285712,916.7039702380954
F,44.0,1.62,52.8,1134.4796179653679,1153.9949437229434,865.2973997113991
F,56.0,1.56,57.9,1134.4796179653679,1153.9949437229434,870.7430337301587
F,50.0,1.649,73.6,1134.339617965368,1153.9949437229434,986.6923253968256
F,52.0,1.587,55.8,1134.4796179653679,1153.9949437229434,862.8412738095237
M,35.0,1.76,76.9,1132.7290941558442,1153.017003246753,1005.7060476190477
M,25.0,1.784,77.6,1140.5374274891776,1157.4515714285712,1033.9619002525253
M,33.0,1.725,68.5,1132.3503441558441,1153.017003246753,949.713869047619
M,28.0,1.793,73.6,1132.3690941558443,1153.017003246753,1012.3160753968256
M,17.0,1.668,50.1,1140.3474274891776,1156.315821428571,884.0311596320346
M,39.0,1.675,63.3,1134.4796179653679,1153.9949437229434,900.6411257215
F,46.0,1.514,45.0,1134.4796179653679,1153.9949437229434,843.2436130952383
F,37.0,1.595,73.3,1134.339617965368,1153.9949437229434,985.5073730158732
F,57.0,1.595,63.8,1134.4796179653679,1153.9949437229434,908.4191706349208
F,59.0,1.51,54.2,1134.4796179653679,1153.9949437229434,867.6127499999991
F,23.0,1.624,48.3,1141.5674274891776,1157.4515714285712,872.7250416666665
F,27.0,1.606,46.6,1132.7490941558442,1153.017003246753,859.1559365079364
F,22.0,1.65,62.4,1141.5674274891776,1157.4515714285712,911.1158472222226
M,48.0,1.584,57.3,1134.4796179653679,1153.9949437229434,869.3512162698414
M,32.0,1.753,90.6,1146.163137806638,1159.789884199134,1092.6405476190478
M,32.0,1.714,67.9,1132.3503441558441,1153.017003246753,939.8531567460319
F,19.0,1.61,56.2,1141.5674274891776,1157.4515714285712,873.8250158730161
F,20.0,1.629,50.1,1141.5674274891776,1157.4515714285712,880.8458382034632
F,27.0,1.63,54.6,1132.7490941558442,1153.017003246753,888.6970099206347
F,21.0,1.654,52.7,1141.5674274891776,1157.4515714285712,888.3385465367962
F,51.0,1.562,49.2,1134.4796179653679,1153.9949437229434,844.2056726190473
F,18.0,1.661,52.7,1140.3474274891776,1156.315821428571,889.3035465367961
